stellar_mass,gas_mass,vmax,pos_x,pos_y,pos_z,sfr,baryonic_mass,gas_fraction,log_env,log_mbar,log_vmax,btfr_residual
11286389000.0,4605070000.0,135.63391,0.8590229,27.481377,17.538166,0.43545103,15891458000.0,0.2897827,1.3743189521052281,10.201163,2.1323683,-0.2047987
44356202000.0,0.0,246.81401,0.8024931,26.68045,17.5412,0.0,44356202000.0,0.0,3.7069452984596856,10.646955,2.3923697,-0.7045469
11374942000.0,25474980000.0,145.76535,0.2503423,26.303799,16.02384,0.79691076,36849922000.0,0.6913171,1.3581088179993912,10.566437,2.1636543,0.046697617
13661921000.0,0.0,130.56845,0.5126043,27.695673,18.184345,0.0,13661921000.0,0.0,0.8552399117637068,10.135511,2.1158383,-0.21033669
34446970000.0,0.0,243.9079,0.81575155,26.376543,17.733023,0.0,34446970000.0,0.0,2.4748812958165898,10.537151,2.3872259,-0.79564285
29683634000.0,0.0,208.91125,0.16194196,24.596046,16.92632,0.0,29683634000.0,0.0,2.7812916276488604,10.472517,2.3199618,-0.61566067
28190452000.0,0.0,222.4348,1.1225878,26.320684,18.100462,0.0,28190452000.0,0.0,2.316432053403917,10.450102,2.3472028,-0.7371416
8536711000.0,10775728000.0,138.09853,0.9354522,25.699078,19.078863,0.68436927,19312440000.0,0.55796826,1.7508974318924713,10.285837,2.140189,-0.14856625
16815539000.0,0.0,182.3933,1.3410271,26.76395,17.692768,0.0,16815539000.0,0.0,1.549314390267886,10.225711,2.261009,-0.6480751
19461652000.0,282326140.0,170.28436,1.4867831,26.48465,19.37086,0.08205012,19743980000.0,0.014299354,1.4586142119317158,10.295435,2.2311747,-0.4698534
22581870000.0,8142326300.0,197.65807,0.6451461,25.717724,18.373919,4.5309973,30724196000.0,0.2650135,1.899730166893476,10.48748,2.2959146,-0.5132456
18337368000.0,583779460.0,138.02205,0.28287667,25.858469,17.22076,0.053112414,18921148000.0,0.030853279,1.3436042303679967,10.276947,2.1399484,-0.15658188
27399746000.0,0.0,180.79541,0.60539794,26.370176,18.18974,0.0,27399746000.0,0.0,3.0044435212493745,10.437747,2.2571874,-0.42214012
11057549000.0,11606975.0,153.9553,1.128818,26.489805,19.59106,0.0,11069156000.0,0.0010485871,1.2855989273487864,10.044114,2.1873946,-0.5619602
11555374000.0,0.0,147.59435,74.7564,26.190432,16.591585,0.0,11555374000.0,0.0,1.0764457177747995,10.062784,2.1690698,-0.47664928
8458113000.0,0.0,131.33096,1.0222503,26.01695,19.667606,0.0,8458113000.0,0.0,1.2032088000192194,9.927274,2.1183672,-0.42777157
11433162000.0,0.0,137.57913,0.5568953,26.588062,16.93225,0.0,11433162000.0,0.0,1.621140572848561,10.0581665,2.1385527,-0.370286
18524590000.0,0.0,160.18718,1.0782334,26.560322,18.278954,0.0,18524590000.0,0.0,2.327079336393642,10.267749,2.2046278,-0.40099716
31404696000.0,0.0,217.29811,0.91624874,26.32388,18.13191,0.0,31404696000.0,0.0,2.925829145201517,10.496995,2.337056,-0.65334797
31020710000.0,0.0,199.0805,0.8255686,26.52319,17.993006,0.0,31020710000.0,0.0,2.614259064298189,10.491652,2.2990286,-0.5203991
21123813000.0,9594452000.0,171.28621,74.98477,24.430664,16.476791,2.322414,30718265000.0,0.31233704,1.6107332753341201,10.487396,2.2337224,-0.28715706
15865641000.0,0.0,144.55516,0.38415176,26.571957,16.77724,0.0,15865641000.0,0.0,1.491383358090145,10.200458,2.1600337,-0.3061142
3248093000.0,11217847000.0,113.67548,1.1522375,27.616425,17.79381,0.33643985,14465940000.0,0.77546614,1.4502211667140645,10.160347,2.055667,0.033322334
14864554000.0,0.0,153.65335,0.7858047,26.26086,17.315935,0.0,14864554000.0,0.0,1.8749076797323945,10.172152,2.186542,-0.43082237
10610979000.0,1197718800.0,135.43893,1.3411362,27.22837,18.169407,0.16980977,11808697000.0,0.10142683,1.2903624244184888,10.072202,2.1317434,-0.3314886
31871590000.0,0.0,210.05753,0.76660836,26.338047,18.348644,0.0,31871590000.0,0.0,3.698071122246897,10.503404,2.3223383,-0.5934162
3838414300.0,12492193000.0,116.06159,0.070502214,26.10808,16.504581,0.43490863,16330607000.0,0.7649558,1.0547498528721233,10.213002,2.0646884,0.05316925
32743426000.0,0.0,393.74847,0.86704296,26.317556,18.293825,0.0,32743426000.0,0.0,4.597012237004717,10.515124,2.595219,-1.5740719
19610532000.0,0.0,168.21588,0.9460016,26.711138,18.355167,0.0,19610532000.0,0.0,2.1883324364121517,10.292489,2.225867,-0.45349693
16155129000.0,0.0,186.09366,0.612679,26.662647,18.368795,0.0,16155129000.0,0.0,2.177136301080793,10.20831,2.2697315,-0.697196
30422034000.0,0.0,231.36588,0.69107485,26.432285,18.264734,0.0,30422034000.0,0.0,3.291693556807642,10.483189,2.3642993,-0.7662296
25716480000.0,0.0,178.78896,0.6954601,26.526144,18.437485,0.0,25716480000.0,0.0,2.4968401246396317,10.410212,2.2523408,-0.4320507
